name,long_name,name_odessa,unit,domain,strategy,dimension
CUMAFP,none,CUMAFP,none,vessel,vessel_general,general
CUMAGFP,none,CUMAGFP,none,vessel,vessel_general,general
CUMAGSM,none,CUMAGSM,none,vessel,vessel_general,general
CUMASM,none,CUMASM,none,vessel,vessel_general,general
FRACFP,none,FRACFP,none,vessel,vessel_general,general
FRACSM,none,FRACSM,none,vessel,vessel_general,general
PRODH2,none,PRODH2,none,vessel,vessel_general,general
SATUMX,none,SATUMX,none,vessel,vessel_general,general
TOTMAMAG,none,TOTMAMAG,none,vessel,vessel_general,general
TOTMADEB,none,TOTMADEB,none,vessel,vessel_general,general
